,city,country,events,men,participants,sport,women,year
0,London,Great Britain,302,5864,10519,32,4655,2012
1,Beijing,China,303,6290,10901,34,4611,2008
2,Athina,Greece,301,6257,10561,34,4304,2004
3,Sydney,Australia,300,6579,10648,34,4068,2000
4,Atlanta,United States,271,6819,10342,31,3520,1996
5,Barcelona,Spain,257,6659,9386,29,2721,1992
6,Seoul,South Korea,237,6249,8453,27,2202,1988
7,Los Angeles,United States,221,5224,6799,26,1567,1984
8,Moskva,Soviet Union,203,4135,5259,23,1123,1980
9,Montréal,Canada,198,4812,6073,23,1260,1976
10,München,West Germany,195,6052,7113,23,1060,1972
11,Ciudad de México,Mexico,172,4775,5558,20,783,1968
12,Tokyo,Japan,163,4457,5137,21,680,1964
13,Roma,Italy,150,4738,5351,19,613,1960
14,Melbourne,Australia,145,2818,3189,18,371,1956
15,Helsinki,Finland,149,4411,4932,19,521,1952
16,London,Great Britain,149,3951,4397,21,445,1948
17,Berlin,Germany,143,4124,4484,24,360,1936
18,Los Angeles,United States,126,1719,1921,18,202,1932
19,Amsterdam,Netherlands,120,2936,3248,17,312,1928
20,Paris,France,130,3100,3256,20,156,1924
21,Antwerpen,Belgium,160,2599,2677,25,78,1920
22,Stockholm,Sweden,107,2356,2424,17,53,1912
23,London,Great Britain,109,1980,2024,24,44,1908
24,Athina,Greece,74,835,841,13,6,1906
25,St. Louis,United States,95,644,650,18,6,1904
26,Paris,France,95,1201,1224,20,23,1900
27,Athina,Greece,43,176,176,9,0,1896
